Language_short_name;EN;RU;JA
Language_name;English;Русский;Japanese
SHOP;SHOP;СКИНЫ;SHOP
Ball;Ball;Мяч;Ball
8-Ball;8-Ball;8-ка;8-Ball
Burger;Burger;Бутер;Burger
Love;Love;Сердце;Love
Dark;Dark;Темный;Dark
Volleyball;Volleyball;Воллейбол;Volleyball
Eye;Eye;Глаз;Eye
Bubble;Bubble;Пузырь;Bubble
Earth;Earth;Земля;Earth
Pizza;Pizza;Пицца;Pizza
mobile_tutor;Swipe to start moving;Двигай пальцем чтобы играть;Swipe to start moving
desktop_tutor_first_part;Press LEFT mouse button and;Зажми ЛЕВУЮ КНОПКУ мыши и;Press LEFT mouse button and
desktop_tutor_second_part;Swipe to start moving;двигай чтобы играть;Swipe to start moving
GAME OVER;GAME OVER;ИГРА ОКОНЧЕНА;GAME OVER
SCORE;SCORE;СЧЕТ;SCORE
BEST;BEST;РЕКОРД;BEST